shift + стрелка		выделить текст
Ctrl + #            комментировать код

Ctrl + Z			отмкнить команду (назад)
Ctrl + Y			воссановить команду (вперёд)

Ctrl + C 			копировать (выделенное)
Ctrl + V 			вставить скопированное

Ctrl + A 			выделить всё
Ctrl + X 			вырезать (выделенное)

Ctrl + / 			закоментировать линию (или выделенные строки)
Ctrl + K (после чего Ctrl + U) Раскоментировать линию

Ctrl + Home 		к началу исходника
Ctrl + End 			к концу исходника

Alt + стрелка 		переместить строку (вверх, вниз)
Ctrl + D 			выделить имя которое нужно изменить
